"model","predictor","estimate","median","lower_95","upper_95","IRR","IRR_lower_95","IRR_upper_95","prob_positive","prob_negative","direction_probability","credible_95","species_effect"
"climate_sum_only","mean_temp_z",0.0647432558787728,0.0644721336653741,-0.0438229625186092,0.174596007635118,1.06688507274751,0.957123389188924,1.19076505943461,0.8755,0.1245,0.8755,FALSE,"cerana"
"climate_sum_only","mean_temp_z",-0.138785954473593,-0.134666969697364,-0.446365842973413,0.158520272192487,0.87041431681108,0.639949608163165,1.17177567844653,0.17975,0.82025,0.82025,FALSE,"mellifera"
"climate_sum_only","mean_temp_z",-0.203529210352366,-0.200370562227948,-0.508978197527242,0.10353074292659,0.815846372814586,0.601109480269177,1.10907988920258,0.088,0.912,0.912,FALSE,"mellifera_minus_cerana"
"climate_sum_only","sum_sun_z",-0.0918981211770075,-0.0919421983126603,-0.19733002046439,0.0162188404268675,0.912198078477836,0.820919668312956,1.01635107977491,0.045,0.955,0.955,FALSE,"cerana"
"climate_sum_only","sum_sun_z",-0.149229373667779,-0.147719527409224,-0.50485743707892,0.202389038864564,0.861371516293854,0.603591619077933,1.2243242251783,0.2085,0.7915,0.7915,FALSE,"mellifera"
"climate_sum_only","sum_sun_z",-0.0573312524907712,-0.05520246026119,-0.4103245595083,0.294983180379047,0.944281222046866,0.663434891087756,1.34310376800002,0.386,0.614,0.614,FALSE,"mellifera_minus_cerana"
"climate_sum_only","sum_rain_z",0.0181945820493539,0.0189356249971499,-0.0846313135448568,0.121607254827444,1.0183611119045,0.918850989873822,1.12931048343085,0.6325,0.3675,0.6325,FALSE,"cerana"
"climate_sum_only","sum_rain_z",-0.296829713406607,-0.294981567020893,-0.526848394081346,-0.0621524677141436,0.743170553569376,0.590462946852591,0.939739595919671,0.00625,0.99375,0.99375,TRUE,"mellifera"
"climate_sum_only","sum_rain_z",-0.31502429545596,-0.314632790020717,-0.552292196466178,-0.0772661586974272,0.729771143930986,0.57562884260119,0.925643452761417,0.00525,0.99475,0.99475,TRUE,"mellifera_minus_cerana"
"climate_ratio_only","mean_temp_z",0.0585148087925334,0.05861498311231,-0.0488116332001744,0.162476485095431,1.06026068675888,0.952360505904491,1.17642065470401,0.86925,0.13075,0.86925,FALSE,"cerana"
"climate_ratio_only","mean_temp_z",-0.136306482319697,-0.140077474645596,-0.430107432676906,0.160170603470165,0.872575162643467,0.6504392125438,1.17371109309749,0.19175,0.80825,0.80825,FALSE,"mellifera"
"climate_ratio_only","mean_temp_z",-0.194821291112231,-0.19769284176848,-0.501444928614131,0.111179386651377,0.822981719062741,0.605654899065245,1.11759537056478,0.11075,0.88925,0.88925,FALSE,"mellifera_minus_cerana"
"climate_ratio_only","ratio_sun_z",-0.086189074892758,-0.0862721136457267,-0.191523095262987,0.0218269280680252,0.917420753589937,0.825700555114801,1.02206687807292,0.0565,0.9435,0.9435,FALSE,"cerana"
"climate_ratio_only","ratio_sun_z",-0.162931689786671,-0.162053570792664,-0.495098079748604,0.183652059651876,0.849649226152176,0.609511123666795,1.20159766604344,0.17525,0.82475,0.82475,FALSE,"mellifera"
"climate_ratio_only","ratio_sun_z",-0.0767426148939129,-0.0757832848246821,-0.413199829953541,0.266065771124692,0.926128194536078,0.661530076094484,1.30482087540126,0.328,0.672,0.672,FALSE,"mellifera_minus_cerana"
"climate_ratio_only","sum_rain_z",0.0145860507616714,0.0159186120080836,-0.0939319987390173,0.119496867080811,1.01469294629563,0.91034466472115,1.12692971348195,0.6115,0.3885,0.6115,FALSE,"cerana"
"climate_ratio_only","sum_rain_z",-0.294975228997187,-0.292040481731346,-0.522556960021151,-0.0715263297246479,0.744550030488382,0.593002324542769,0.93097176504193,0.00775,0.99225,0.99225,TRUE,"mellifera"
"climate_ratio_only","sum_rain_z",-0.309561279758858,-0.310176543233539,-0.536643062012186,-0.0794758261512701,0.733768804845379,0.584707789301518,0.923600346673812,0.00625,0.99375,0.99375,TRUE,"mellifera_minus_cerana"
"landcover","forest_z",0.230048229164432,0.231750859465128,-0.138691067469722,0.596378093011722,1.25866071262012,0.870496911736259,1.81553119262667,0.88775,0.11225,0.88775,FALSE,"cerana"
"landcover","forest_z",0.384249189200521,0.382762134887274,-0.0373964657833118,0.810212094262687,1.46851133325707,0.963294146462958,2.24838480562699,0.9645,0.0355,0.9645,FALSE,"mellifera"
"landcover","forest_z",0.154200960036088,0.152591863635365,-0.367306293291386,0.671472045808993,1.16672532838505,0.692597474592759,1.95711616586974,0.724,0.276,0.724,FALSE,"mellifera_minus_cerana"
"landcover","agri_z",0.0411239468652496,0.044098462299306,-0.288578774759999,0.363853319447495,1.04198124785124,0.749327774706866,1.43886314543743,0.602,0.398,0.602,FALSE,"cerana"
"landcover","agri_z",0.28846653597485,0.285190648433129,-0.125429730394505,0.71743491688363,1.33437969506007,0.88211774831539,2.04917017165353,0.91175,0.08825,0.91175,FALSE,"mellifera"
"landcover","agri_z",0.2473425891096,0.245209418727894,-0.236288479096413,0.752838701050567,1.28061776333481,0.789552871577311,2.12301808449044,0.841,0.159,0.841,FALSE,"mellifera_minus_cerana"
"landcover","water_z",0.274413155075463,0.273410451823971,0.131138753230943,0.417566215616915,1.31575830217674,1.14012596649892,1.51826193322069,0.9995,5e-04,0.9995,TRUE,"cerana"
"landcover","water_z",0.0694545357280789,0.0718305404011494,-0.372007299429856,0.496571343306779,1.07192332588335,0.689349210649648,1.64307805133933,0.622,0.378,0.622,FALSE,"mellifera"
"landcover","water_z",-0.204958619347384,-0.206918819661561,-0.657162964823115,0.246079688720209,0.814681027746513,0.518319741885682,1.27900149147283,0.193,0.807,0.807,FALSE,"mellifera_minus_cerana"
